model,quant,constrained,scenario,rep,primary_failure,steps_used,oracle_steps,injection_fired,recovered,ended_by_final,final_answer,trace
llama-3.1-8b,Q3_K_M,0,s05_analytics_pipeline,0,loop,10,4,1,1,0,,find_dataset > fetch_rows > fetch_rows > validate_rows > store_report!bad-args > store_report!bad-args > store_report!bad-args > store_report!bad-args > fetch_rows!loop > fetch_rows!loop
llama-3.1-8b,Q3_K_M,0,s06_order_placement,0,loop,10,4,0,0,0,,search_catalog > add_to_cart > apply_coupon > get_shipping_fee!invalid-output > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args
llama-3.1-8b,Q3_K_M,0,s09_bank_transfer,0,loop,10,5,0,0,0,,get_fee_schedule > get_balance!bad-args > list_accounts > get_balance > get_balance > verify_payee > get_balance!loop > calculate!invalid-output > calculate!invalid-output > calculate!invalid-output
llama-3.1-8b,Q3_K_M,0,s10_expense_report,0,loop,9,4,1,0,0,,get_report_items > get_policy_limits > submit_report > submit_report!bad-args > get_report_items!loop > submit_report!bad-args > submit_report!bad-args > submit_report!bad-args > submit_report!bad-args
llama-3.1-8b,Q3_K_M,0,s11_invoice_creation,0,loop,10,5,0,0,0,,find_client > get_contract_terms > get_tax_rate > get_currency_conversion!wrong-tool
llama-3.1-8b,Q3_K_M,0,s16_food_delivery_order,0,premature-stop,6,4,1,1,1,"Order ID: OD-7731, Order Total: 20.00 USD",find_restaurant > get_menu > place_order > place_order > confirm_delivery
llama-3.1-8b,Q3_K_M,0,s05_analytics_pipeline,1,loop,10,4,1,1,0,,find_dataset > fetch_rows > fetch_rows > validate_rows > store_report!bad-args > store_report!bad-args > store_report!bad-args > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop
llama-3.1-8b,Q3_K_M,0,s06_order_placement,1,loop,10,4,0,0,0,,search_catalog > add_to_cart > apply_coupon > get_shipping_fee!invalid-output > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args
llama-3.1-8b,Q3_K_M,0,s09_bank_transfer,1,loop,10,5,0,0,0,,get_fee_schedule > get_balance!bad-args > list_accounts > get_balance > verify_payee > get_balance > get_balance!loop > calculate!invalid-output > calculate!invalid-output > calculate!invalid-output
llama-3.1-8b,Q3_K_M,0,s10_expense_report,1,loop,9,4,0,0,0,,get_report_items > get_policy_limits > get_report_items!loop > get_report_items!loop > filter!invalid-output > get_report_items!loop > filter!invalid-output > get_report_items!loop > get_report_items!loop
